Bericht;Bereich;Modell;Groesse;Run;Szenariotyp;Phase;Schrittart;Aufgabe;Status;Dauer [s];SLM-Zeit [s];Prompt-Tokens;Output-Tokens;Tokens gesamt;Formatreparaturen;Modellneustarts;Abbrueche;Timeouts;Abbruchgrund;Fehlerart;Neustart;Timeout
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_service_restart_finished;intermodel:controlled_phase1:GM_gut_S1->TRM_gut_S1;OK;2.1878543000020727;;;;;;;;;;;;120.0
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:GM_gut_S1->TRM_gut_S1;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:GM_gut_S1->PM_gut_S1;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:ARM_gut_S1->GM_gut_S1;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:ARM_gut_S1->BPM_gut_S1;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:ARM_gut_S1->BPM_gut_Overview;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:ARM_gut_S1->TRM_gut_S1;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:ARM_gut_S1->PM_gut_S1;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:BPM_gut_S1->CM_gut_S1;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;format_repair:intermodel:controlled_phase1:BPM_gut_S1->CM_gut_S1:attempt:1;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;format_repair:intermodel:controlled_phase1:BPM_gut_S1->CM_gut_S1:attempt:2;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;format_repair:intermodel:controlled_phase1:BPM_gut_S1->CM_gut_S1:attempt:3;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:BPM_gut_Overview->CM_gut_S1;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_attempt_aborted;intermodel:controlled_phase1:BPM_gut_Overview->CM_gut_S1;;;;;;;;;1;;thinking_repetition;SLMRepetitionError;True;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_service_restart_finished;intermodel:controlled_phase1:BPM_gut_Overview->CM_gut_S1;OK;2.1976276000023063;;;;;;;;;;;;120.0
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:BPM_gut_Overview->CM_gut_S1;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:BPM_gut_S1->TRM_gut_S1;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_attempt_aborted;intermodel:controlled_phase1:BPM_gut_S1->TRM_gut_S1;;;;;;;;;1;;thinking_repetition;SLMRepetitionError;True;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_service_restart_finished;intermodel:controlled_phase1:BPM_gut_S1->TRM_gut_S1;OK;2.192290099999809;;;;;;;;;;;;120.0
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:BPM_gut_S1->TRM_gut_S1;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:BPM_gut_Overview->TRM_gut_S1;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:TRM_gut_S1->CM_gut_S1;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_attempt_aborted;intermodel:controlled_phase1:TRM_gut_S1->CM_gut_S1;;;;;;;;;1;;thinking_repetition;SLMRepetitionError;True;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_service_restart_finished;intermodel:controlled_phase1:TRM_gut_S1->CM_gut_S1;OK;2.1863507999987633;;;;;;;;;;;;120.0
